PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,LOG-PRICE,LOG-PROPERTYSQFT,SUBLOCALITY,TYPE,BOROUGH,TYPE-GROUP,RESIDUALS,Y-HAT
315000,2,2.0,1400.0,40.761255,-73.9744834,12.66032791780777,7.24422751560335,Manhattan,Condo for sale,MANHATTAN,CONDO_COOP,-1.3996567910847837,14.059984708892554
195000000,7,10.0,17545.0,40.7663935,-73.9809909,19.08851011652802,9.772524288017316,New York County,Condo for sale,MANHATTAN,CONDO_COOP,2.4128827787058142,16.675627337822206
260000,4,2.0,2015.0,40.5418051,-74.1961086,12.468436909997664,7.608374474380783,Richmond County,House for sale,STATEN_ISLAND,HOUSE,-1.2002829304796503,13.668719840477314
69000,3,1.0,445.0,40.7613979,-73.9746128,11.141861783579396,6.09807428216624,New York County,Condo for sale,MANHATTAN,CONDO_COOP,-2.1161229162463666,13.257984699825762
55000000,7,2.3738608579684373,14175.0,40.7672235,-73.9698561,17.822843743196746,9.559235128595953,New York County,Townhouse for sale,MANHATTAN,HOUSE,1.9495265494715408,15.873317193725205
690000,5,2.0,4004.0,40.6743632,-73.9587248,13.444446876573442,8.295049140435111,Kings County,House for sale,BROOKLYN,HOUSE,-0.9849584747158353,14.429405351289278
899500,2,2.0,2184.207862,40.809448,-73.946777,13.709594332372724,7.689008507244377,New York,Condo for sale,MANHATTAN,CONDO_COOP,-0.6049220434229454,14.31451637579567
16800000,8,16.0,33000.0,40.5950017,-74.1064235,16.636889444373487,10.404262840448617,Richmond County,House for sale,STATEN_ISLAND,HOUSE,-0.6771998810898836,17.31408932546337
265000,1,1.0,750.0,40.8215857,-73.8740892,12.48748510496836,6.620073206530356,East Bronx,Co-op for sale,BRONX,CONDO_COOP,0.13674755968732377,12.350737545281037
440000,2,1.0,978.0,40.6157378,-73.9696944,12.994530005894443,6.885509670034818,Brooklyn,Co-op for sale,BROOKLYN,CONDO_COOP,-0.04823038541268865,13.042760391307132
375000,2,1.0,850.0,40.8248699,-73.9229829,12.834681304952548,6.745236349484363,The Bronx,Co-op for sale,BRONX,CONDO_COOP,0.4123175346087553,12.422363770343793
689000,3,2.3738608579684373,1162.0,40.6249962,-74.1553058,13.442996549995796,7.057897937411856,Richmond County,Townhouse for sale,STATEN_ISLAND,HOUSE,0.03467331293574283,13.408323237060053
259000,3,1.0,2184.207862,40.7531191,-73.8818757,12.464583340681674,7.689008507244377,Queens,Co-op for sale,QUEENS,CONDO_COOP,-0.7005265657173254,13.165109906399
